# Temperatura_=_44.44
# Concentracion g/m^3_=_5000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302510.63632789574

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.048754e-06	-5.614855e-09	-5.686433e+01	-3.675504e+02
1.000000e-08	-8.044601e-06	-5.610058e-09	-5.683499e+01	-3.673049e+02
2.000000e-08	-8.037860e-06	-5.601752e-09	-5.678736e+01	-3.669922e+02
3.000000e-08	-8.028350e-06	-5.596380e-09	-5.672017e+01	-3.666241e+02
4.000000e-08	-8.015920e-06	-5.593850e-09	-5.663236e+01	-3.662129e+02
5.000000e-08	-8.000480e-06	-5.589314e-09	-5.652328e+01	-3.657700e+02
6.000000e-08	-7.982348e-06	-5.582756e-09	-5.639518e+01	-3.653044e+02
7.000000e-08	-7.961983e-06	-5.579748e-09	-5.625130e+01	-3.648222e+02
8.000000e-08	-7.939055e-06	-5.589361e-09	-5.608931e+01	-3.643253e+02
9.000000e-08	-7.912970e-06	-5.616769e-09	-5.590502e+01	-3.638117e+02
1.000000e-07	-7.883651e-06	-5.601776e-09	-5.569788e+01	-3.632761e+02
1.100000e-07	-7.851397e-06	-5.558467e-09	-5.547001e+01	-3.627104e+02
1.200000e-07	-7.816340e-06	-5.532184e-09	-5.522233e+01	-3.621046e+02
1.300000e-07	-7.778757e-06	-5.514988e-09	-5.495681e+01	-3.614485e+02
1.400000e-07	-7.738980e-06	-5.481066e-09	-5.467578e+01	-3.607320e+02
1.500000e-07	-7.696908e-06	-5.447486e-09	-5.437855e+01	-3.599468e+02
1.600000e-07	-7.652189e-06	-5.493925e-09	-5.406261e+01	-3.590861e+02
1.700000e-07	-7.604748e-06	-5.456345e-09	-5.372744e+01	-3.581456e+02
1.800000e-07	-7.554413e-06	-5.413996e-09	-5.337182e+01	-3.571228e+02
1.900000e-07	-7.501035e-06	-5.442734e-09	-5.299471e+01	-3.560172e+02
2.000000e-07	-7.444888e-06	-5.390955e-09	-5.259802e+01	-3.548294e+02
2.100000e-07	-7.386008e-06	-5.371666e-09	-5.218204e+01	-3.535606e+02
2.200000e-07	-7.324433e-06	-5.355578e-09	-5.174702e+01	-3.522124e+02
2.300000e-07	-7.260243e-06	-5.329129e-09	-5.129351e+01	-3.507862e+02
2.400000e-07	-7.193260e-06	-5.308767e-09	-5.082028e+01	-3.492831e+02
2.500000e-07	-7.123510e-06	-5.276534e-09	-5.032749e+01	-3.477040e+02
2.600000e-07	-7.050971e-06	-5.270230e-09	-4.981501e+01	-3.460496e+02
2.700000e-07	-6.975592e-06	-5.240495e-09	-4.928246e+01	-3.443204e+02
2.800000e-07	-6.897459e-06	-5.211474e-09	-4.873045e+01	-3.425173e+02
2.900000e-07	-6.816545e-06	-5.182468e-09	-4.815880e+01	-3.406415e+02
3.000000e-07	-6.733153e-06	-5.158033e-09	-4.756963e+01	-3.386943e+02
3.100000e-07	-6.647502e-06	-5.129789e-09	-4.696451e+01	-3.366774e+02
3.200000e-07	-6.559496e-06	-5.079503e-09	-4.634275e+01	-3.345920e+02
3.300000e-07	-6.469104e-06	-5.057955e-09	-4.570412e+01	-3.324390e+02
3.400000e-07	-6.376424e-06	-5.029485e-09	-4.504935e+01	-3.302182e+02
3.500000e-07	-6.281498e-06	-4.996251e-09	-4.437869e+01	-3.279285e+02
3.600000e-07	-6.184207e-06	-4.962230e-09	-4.369133e+01	-3.255675e+02
3.700000e-07	-6.084616e-06	-4.926071e-09	-4.298772e+01	-3.231314e+02
3.800000e-07	-5.982867e-06	-4.885921e-09	-4.226887e+01	-3.206160e+02
3.900000e-07	-5.878974e-06	-4.842222e-09	-4.153487e+01	-3.180163e+02
4.000000e-07	-5.773012e-06	-4.805278e-09	-4.078625e+01	-3.153278e+02
4.100000e-07	-5.665095e-06	-4.759152e-09	-4.002381e+01	-3.125467e+02
4.200000e-07	-5.555239e-06	-4.717329e-09	-3.924769e+01	-3.096706e+02
4.300000e-07	-5.443360e-06	-4.670895e-09	-3.845726e+01	-3.066987e+02
4.400000e-07	-5.329328e-06	-4.625266e-09	-3.765163e+01	-3.036317e+02
4.500000e-07	-5.213129e-06	-4.577031e-09	-3.683068e+01	-3.004718e+02
4.600000e-07	-5.094972e-06	-4.529428e-09	-3.599590e+01	-2.972221e+02
4.700000e-07	-4.975025e-06	-4.480329e-09	-3.514848e+01	-2.938857e+02
4.800000e-07	-4.853260e-06	-4.425788e-09	-3.428821e+01	-2.904649e+02
4.900000e-07	-4.729691e-06	-4.370877e-09	-3.341520e+01	-2.869603e+02
5.000000e-07	-4.604423e-06	-4.313981e-09	-3.253019e+01	-2.833707e+02
5.100000e-07	-4.477558e-06	-4.258218e-09	-3.163389e+01	-2.796921e+02
5.200000e-07	-4.349063e-06	-4.197528e-09	-3.072607e+01	-2.759182e+02
5.300000e-07	-4.218943e-06	-4.138235e-09	-2.980678e+01	-2.720407e+02
5.400000e-07	-4.087282e-06	-4.076985e-09	-2.887659e+01	-2.680503e+02
5.500000e-07	-3.954036e-06	-4.014738e-09	-2.793521e+01	-2.639373e+02
5.600000e-07	-3.819281e-06	-3.951164e-09	-2.698317e+01	-2.596930e+02
5.700000e-07	-3.683116e-06	-3.884084e-09	-2.602116e+01	-2.553107e+02
5.800000e-07	-3.545404e-06	-3.814991e-09	-2.504823e+01	-2.507860e+02
5.900000e-07	-3.406230e-06	-3.742577e-09	-2.406497e+01	-2.461172e+02
6.000000e-07	-3.265750e-06	-3.668302e-09	-2.307248e+01	-2.413053e+02
6.100000e-07	-3.123852e-06	-3.591581e-09	-2.206997e+01	-2.363528e+02
6.200000e-07	-2.980538e-06	-3.514980e-09	-2.105746e+01	-2.312630e+02
6.300000e-07	-2.836100e-06	-3.436261e-09	-2.003701e+01	-2.260386e+02
6.400000e-07	-2.690759e-06	-3.353644e-09	-1.901018e+01	-2.206802e+02
6.500000e-07	-2.544482e-06	-3.267190e-09	-1.797673e+01	-2.151856e+02
6.600000e-07	-2.397366e-06	-3.178223e-09	-1.693736e+01	-2.095486e+02
6.700000e-07	-2.249543e-06	-3.090165e-09	-1.589299e+01	-2.037592e+02
6.800000e-07	-2.101015e-06	-3.001342e-09	-1.484364e+01	-1.978041e+02
6.900000e-07	-1.951815e-06	-2.908142e-09	-1.378955e+01	-1.916675e+02
7.000000e-07	-1.801965e-06	-2.809750e-09	-1.273086e+01	-1.853330e+02
7.100000e-07	-1.651519e-06	-2.708285e-09	-1.166796e+01	-1.787847e+02
7.200000e-07	-1.500492e-06	-2.606741e-09	-1.060095e+01	-1.720091e+02
7.300000e-07	-1.348947e-06	-2.501619e-09	-9.530288e+00	-1.649963e+02
7.400000e-07	-1.196920e-06	-2.388221e-09	-8.456223e+00	-1.577401e+02
7.500000e-07	-1.044409e-06	-2.272092e-09	-7.378737e+00	-1.502384e+02
7.600000e-07	-8.915450e-07	-2.156937e-09	-6.298753e+00	-1.424915e+02
7.700000e-07	-7.383409e-07	-2.036811e-09	-5.216368e+00	-1.345006e+02
7.800000e-07	-5.848251e-07	-1.910371e-09	-4.131781e+00	-1.262653e+02
7.900000e-07	-4.310382e-07	-1.781391e-09	-3.045279e+00	-1.177809e+02
8.000000e-07	-2.770473e-07	-1.648453e-09	-1.957335e+00	-1.090365e+02
8.100000e-07	-1.229618e-07	-1.507603e-09	-8.687231e-01	-1.000131e+02
8.200000e-07	3.121469e-08	-1.360559e-09	2.205313e-01	-9.068296e+01
8.300000e-07	1.854566e-07	-1.207971e-09	1.310248e+00	-8.101076e+01
8.400000e-07	3.396739e-07	-1.050533e-09	2.399791e+00	-7.095548e+01
8.500000e-07	4.937828e-07	-8.893168e-10	3.488568e+00	-6.047420e+01
8.600000e-07	6.477040e-07	-7.226680e-10	4.576020e+00	-4.952677e+01
8.700000e-07	8.013923e-07	-5.506730e-10	5.661825e+00	-3.808118e+01
8.800000e-07	9.548041e-07	-3.703804e-10	6.745677e+00	-2.611907e+01
8.900000e-07	1.107851e-06	-1.826227e-10	7.826948e+00	-1.364067e+01
9.000000e-07	1.260524e-06	1.065942e-11	8.905585e+00	-6.685524e-01
9.100000e-07	1.412777e-06	2.096480e-10	9.981249e+00	1.275022e+01
9.200000e-07	1.564472e-06	4.168035e-10	1.105297e+01	2.654404e+01
9.300000e-07	1.715536e-06	6.318666e-10	1.212024e+01	4.061882e+01
9.400000e-07	1.865908e-06	8.499043e-10	1.318261e+01	5.486217e+01
9.500000e-07	2.015567e-06	1.069443e-09	1.423996e+01	6.914928e+01
9.600000e-07	2.164531e-06	1.287624e-09	1.529238e+01	8.335000e+01
9.700000e-07	2.312671e-06	1.501563e-09	1.633899e+01	9.733641e+01
9.800000e-07	2.460002e-06	1.709192e-09	1.737988e+01	1.109902e+02
9.900000e-07	2.606518e-06	1.907528e-09	1.841501e+01	1.242090e+02
1.000000e-06	2.752094e-06	2.095362e-09	1.944351e+01	1.369115e+02
1.010000e-06	2.896620e-06	2.273329e-09	2.046458e+01	1.490402e+02
1.020000e-06	3.039995e-06	2.443337e-09	2.147752e+01	1.605623e+02
1.030000e-06	3.182141e-06	2.608140e-09	2.248178e+01	1.714682e+02
1.040000e-06	3.323007e-06	2.765674e-09	2.347700e+01	1.817690e+02
1.050000e-06	3.462611e-06	2.914704e-09	2.446330e+01	1.914913e+02
1.060000e-06	3.600930e-06	3.057574e-09	2.544052e+01	2.006728e+02
1.070000e-06	3.737835e-06	3.194401e-09	2.640775e+01	2.093565e+02
1.080000e-06	3.873216e-06	3.322127e-09	2.736422e+01	2.175860e+02
1.090000e-06	4.007203e-06	3.440030e-09	2.831083e+01	2.254020e+02
1.100000e-06	4.139738e-06	3.550714e-09	2.924719e+01	2.328394e+02
1.110000e-06	4.270796e-06	3.657736e-09	3.017311e+01	2.399262e+02
1.120000e-06	4.400426e-06	3.761894e-09	3.108894e+01	2.466837e+02
1.130000e-06	4.528437e-06	3.860108e-09	3.199334e+01	2.531276e+02
