# 260226_16:22:17.529627
t	CH1	CH2
0.000000e+00	-5.201861e-03	2.402676e+00
1.000000e-08	-5.375949e-03	2.148991e+00
2.000000e-08	-4.962115e-03	1.896263e+00
3.000000e-08	-5.252660e-03	1.560145e+00
4.000000e-08	-4.457711e-03	1.264386e+00
5.000000e-08	-4.451345e-03	9.514910e-01
6.000000e-08	-4.442324e-03	6.342581e-01
7.000000e-08	-4.419302e-03	3.700990e-01
8.000000e-08	-2.472380e-03	6.538206e-02
9.000000e-08	-3.808643e-04	-1.798485e-01
1.000000e-07	1.063832e-02	-4.199763e-01
1.100000e-07	-8.446943e-03	-7.462357e-01
1.200000e-07	6.497255e-03	-9.883160e-01
1.300000e-07	-7.552611e-03	-1.221029e+00
1.400000e-07	3.776021e-03	-1.538315e+00
1.500000e-07	-4.294554e-03	-1.768819e+00
1.600000e-07	3.011340e-02	-1.999924e+00
1.700000e-07	8.717948e-02	-2.224925e+00
1.800000e-07	-8.715873e-03	-2.589874e+00
1.900000e-07	-8.380442e-02	-2.946891e+00
2.000000e-07	7.429319e-03	-3.325660e+00
2.100000e-07	-4.696141e-02	-3.547708e+00
2.200000e-07	-5.125921e-02	-3.718164e+00
2.300000e-07	1.170237e-02	-4.018893e+00
2.400000e-07	1.892761e-01	-4.149745e+00
2.500000e-07	-2.315532e-01	-4.421526e+00
2.600000e-07	2.127358e-01	-4.703182e+00
2.700000e-07	-1.104828e-01	-4.969320e+00
2.800000e-07	-1.109442e-02	-5.285608e+00
2.900000e-07	1.242415e-01	-5.570238e+00
3.000000e-07	-1.787415e-01	-5.842478e+00
3.100000e-07	1.896418e-01	-6.095602e+00
3.200000e-07	-1.290908e-01	-6.379792e+00
3.300000e-07	9.329745e-03	-6.705075e+00
3.400000e-07	8.698716e-02	-6.944604e+00
3.500000e-07	-1.120447e-01	-7.262450e+00
3.600000e-07	1.106199e-01	-7.494599e+00
3.700000e-07	-1.365363e-01	-7.798762e+00
3.800000e-07	1.483339e-01	-8.073001e+00
3.900000e-07	-5.936455e-02	-8.274600e+00
4.000000e-07	-8.314552e-03	-8.516614e+00
4.100000e-07	6.730483e-02	-8.737338e+00
4.200000e-07	-8.533111e-02	-9.012899e+00
4.300000e-07	6.596491e-02	-9.190446e+00
4.400000e-07	-7.870344e-02	-9.452498e+00
4.500000e-07	1.078869e-01	-9.664056e+00
4.600000e-07	-5.280742e-02	-9.897085e+00
4.700000e-07	2.034781e-02	-1.008713e+01
4.800000e-07	-1.740889e-02	-1.026573e+01
4.900000e-07	1.485362e-02	-1.050776e+01
5.000000e-07	1.863319e-02	-1.068718e+01
5.100000e-07	-2.927295e-02	-1.090576e+01
5.200000e-07	4.382088e-02	-1.110725e+01
5.300000e-07	-3.170744e-02	-1.131616e+01
5.400000e-07	2.661464e-02	-1.150558e+01
5.500000e-07	-2.624759e-02	-1.167561e+01
5.600000e-07	4.484016e-02	-1.189713e+01
5.700000e-07	-2.174708e-02	-1.209616e+01
5.800000e-07	1.342222e-02	-1.225250e+01
5.900000e-07	-9.779782e-03	-1.243350e+01
6.000000e-07	1.836965e-02	-1.262089e+01
6.100000e-07	1.975522e-03	-1.272791e+01
6.200000e-07	-2.512606e-03	-1.294829e+01
6.300000e-07	7.762700e-03	-1.304460e+01
6.400000e-07	-4.116246e-03	-1.320244e+01
6.500000e-07	1.710395e-02	-1.337034e+01
6.600000e-07	8.029714e-04	-1.350573e+01
6.700000e-07	1.975036e-02	-1.365362e+01
6.800000e-07	-6.493800e-03	-1.382137e+01
6.900000e-07	9.235064e-03	-1.388770e+01
7.000000e-07	-3.849064e-04	-1.401407e+01
7.100000e-07	1.529899e-02	-1.419041e+01
7.200000e-07	4.642567e-03	-1.425665e+01
7.300000e-07	7.790487e-03	-1.440246e+01
7.400000e-07	3.945365e-03	-1.445713e+01
7.500000e-07	5.562748e-03	-1.458986e+01
7.600000e-07	1.304937e-02	-1.463410e+01
7.700000e-07	1.014788e-02	-1.468873e+01
7.800000e-07	9.368045e-03	-1.479994e+01
7.900000e-07	5.071167e-03	-1.484470e+01
8.000000e-07	8.270587e-03	-1.487675e+01
8.100000e-07	9.356121e-03	-1.494841e+01
8.200000e-07	8.031618e-03	-1.500449e+01
8.300000e-07	8.686131e-03	-1.507560e+01
8.400000e-07	8.989699e-03	-1.508758e+01
8.500000e-07	7.801885e-03	-1.513681e+01
8.600000e-07	1.144616e-02	-1.516096e+01
8.700000e-07	1.505892e-02	-1.517296e+01
8.800000e-07	1.221517e-02	-1.522244e+01
8.900000e-07	8.709397e-03	-1.519309e+01
9.000000e-07	9.829884e-03	-1.527314e+01
9.100000e-07	1.400408e-02	-1.524515e+01
9.200000e-07	1.383477e-02	-1.526457e+01
9.300000e-07	1.309543e-02	-1.525412e+01
9.400000e-07	1.411051e-02	-1.521557e+01
9.500000e-07	1.463985e-02	-1.520302e+01
9.600000e-07	1.528292e-02	-1.520204e+01
9.700000e-07	1.683869e-02	-1.516144e+01
9.800000e-07	2.017800e-02	-1.512843e+01
9.900000e-07	1.853482e-02	-1.509773e+01
1.000000e-06	1.733971e-02	-1.502665e+01
1.010000e-06	1.901259e-02	-1.501194e+01
1.020000e-06	1.994762e-02	-1.496984e+01
1.030000e-06	2.188332e-02	-1.490520e+01
1.040000e-06	1.849708e-02	-1.481154e+01
1.050000e-06	2.121257e-02	-1.473839e+01
1.060000e-06	1.923518e-02	-1.465470e+01
1.070000e-06	2.192071e-02	-1.458997e+01
1.080000e-06	2.181100e-02	-1.452778e+01
1.090000e-06	1.732151e-02	-1.438304e+01
1.100000e-06	1.770431e-02	-1.426767e+01
1.110000e-06	1.220896e-02	-1.416144e+01
1.120000e-06	1.377730e-02	-1.403305e+01
1.130000e-06	1.159593e-02	-1.391828e+01
1.140000e-06	1.516328e-02	-1.380200e+01
1.150000e-06	1.283543e-02	-1.367470e+01
1.160000e-06	1.195891e-02	-1.350834e+01
1.170000e-06	1.083234e-02	-1.342192e+01
1.180000e-06	1.250032e-02	-1.328465e+01
1.190000e-06	9.985152e-03	-1.311733e+01
1.200000e-06	7.805224e-03	-1.301247e+01
1.210000e-06	4.381826e-03	-1.282468e+01
1.220000e-06	6.070195e-03	-1.267868e+01
1.230000e-06	5.862222e-03	-1.251736e+01
1.240000e-06	7.410051e-03	-1.242196e+01
1.250000e-06	6.384195e-03	-1.220249e+01
1.260000e-06	6.169177e-03	-1.205355e+01
1.270000e-06	5.122304e-03	-1.181312e+01
1.280000e-06	5.408355e-03	-1.162608e+01
1.290000e-06	5.737807e-03	-1.140354e+01
1.300000e-06	4.184951e-03	-1.119202e+01
1.310000e-06	2.141368e-03	-1.096057e+01
1.320000e-06	1.848442e-03	-1.082207e+01
1.330000e-06	2.769919e-03	-1.062360e+01
1.340000e-06	3.026981e-03	-1.040257e+01
1.350000e-06	2.912882e-03	-1.020201e+01
1.360000e-06	3.021872e-03	-9.979995e+00
1.370000e-06	2.191305e-03	-9.780389e+00
1.380000e-06	1.337842e-03	-9.548411e+00
1.390000e-06	6.281167e-04	-9.308306e+00
1.400000e-06	7.548447e-04	-9.086856e+00
1.410000e-06	4.105102e-04	-8.874804e+00
1.420000e-06	-1.991306e-04	-8.674598e+00
1.430000e-06	-8.067290e-04	-8.382073e+00
1.440000e-06	1.402238e-05	-8.160441e+00
1.450000e-06	-3.822576e-04	-7.907888e+00
1.460000e-06	-6.207021e-04	-7.632625e+00
1.470000e-06	-1.608329e-03	-7.349943e+00
1.480000e-06	-1.347818e-03	-7.108911e+00
1.490000e-06	-1.912706e-03	-6.863701e+00
1.500000e-06	-2.384178e-03	-6.622548e+00
1.510000e-06	-3.424804e-03	-6.388443e+00
1.520000e-06	-2.609670e-03	-6.076808e+00
1.530000e-06	-2.109943e-03	-5.823724e+00
1.540000e-06	-1.262645e-03	-5.580545e+00
1.550000e-06	-3.759639e-03	-5.285728e+00
1.560000e-06	-1.572660e-03	-5.002472e+00
1.570000e-06	-3.797127e-03	-4.693756e+00
1.580000e-06	-2.815513e-03	-4.470629e+00
1.590000e-06	-4.083103e-03	-4.201549e+00
1.600000e-06	-2.680814e-03	-3.966843e+00
1.610000e-06	-2.754918e-03	-3.633156e+00
1.620000e-06	-4.509965e-03	-3.429541e+00
1.630000e-06	-4.115466e-03	-3.126708e+00
1.640000e-06	-5.651555e-03	-2.808522e+00
1.650000e-06	-2.565683e-03	-2.478341e+00
1.660000e-06	-3.569881e-03	-2.233172e+00
1.670000e-06	-2.653775e-03	-1.949341e+00
1.680000e-06	-5.746277e-03	-1.674258e+00
1.690000e-06	-4.305097e-03	-1.380044e+00
1.700000e-06	-6.275447e-03	-1.043254e+00
1.710000e-06	-4.381526e-03	-7.475198e-01
1.720000e-06	-6.044547e-03	-4.536593e-01
1.730000e-06	-2.975304e-03	-1.889463e-01
